Day,HR (bpm)
483,121.8153868
484,121.7935793
485,121.7717718
486,121.7281567
487,121.6845417
488,121.6409266
489,121.5973116
490,121.5536966
491,121.5100815
492,121.4664665
493,121.4228514
494,121.3792364
495,121.3356213
496,121.2920063
497,121.2483912
498,121.2047762
499,121.1611612
500,121.1175461
501,121.0739311
502,121.030316
503,120.986701
504,120.9430859
505,120.8994709
506,120.8558559
507,120.8122408
508,120.7686258
509,120.7250107
510,120.6813957
511,120.6377806
512,120.5941656
513,120.5505506
514,120.5069355
515,120.4633205
516,120.4274513
517,120.3915821
518,120.3557129
519,120.3198437
520,120.2839745
521,120.2481052
522,120.212236
523,120.1763668
524,120.1404976
525,120.1046284
526,120.0687592
527,120.03289
528,119.9970208
529,119.9611516
530,119.9252824
531,119.8894132
532,119.853544
533,119.8176748
534,119.7818056
535,119.7459364
536,119.7100672
537,119.674198
538,119.6383288
539,119.6024596
540,119.5665904
541,119.5307212
542,119.494852
543,119.4589828
544,119.4231136
545,119.3872444
546,119.3654369
547,119.3436293
548,119.3218218
549,119.3000143
550,119.2782068
551,119.2563993
552,119.2345917
553,119.2127842
554,119.1909767
555,119.1691692
556,119.1473616
557,119.1255541
558,119.1037466
559,119.0819391
560,119.0601316
561,119.038324
562,119.0165165
563,118.994709
564,118.9729015
565,118.951094
566,118.9292864
567,118.9074789
568,118.8856714
569,118.8638639
570,118.8420563
571,118.8202488
572,118.7984413
573,118.7766338
574,118.7548263
575,118.7330187
576,118.6894037
577,118.6457886
578,118.6021736
579,118.5585586
580,118.5149435
581,118.4713285
582,118.4277134
583,118.3840984
584,118.3404833
585,118.2968683
586,118.2532533
587,118.2096382
588,118.1660232
589,118.1224081
590,118.0787931
591,118.035178
592,117.991563
593,117.9479479
594,117.9043329
595,117.8607179
596,117.8171028
597,117.7734878
598,117.7298727
599,117.6862577
600,117.6426426
601,117.5990276
602,117.5554126
603,117.5117975
604,117.4681825
605,117.4245674
606,117.4105057
607,117.3964441
608,117.3823824
609,117.3683207
610,117.354259
611,117.3401973
612,117.3261357
613,117.312074
614,117.2980123
615,117.2839506
616,117.2698889
617,117.2558273
618,117.2417656
619,117.2277039
620,117.2136422
621,117.1995805
622,117.1855189
623,117.1714572
624,117.1573955
625,117.1433338
626,117.1292721
627,117.1152104
628,117.1011488
629,117.0870871
630,117.0730254
631,117.0589637
632,117.044902
633,117.0308404
634,117.0167787
635,117.002717
636,116.9518328
637,116.9009486
638,116.8500644
639,116.7991801
640,116.7482959
641,116.6974117
642,116.6465275
643,116.5956433
644,116.544759
645,116.4938748
646,116.4429906
647,116.3921064
648,116.3412222
649,116.290338
650,116.2394537
651,116.1885695
652,116.1376853
653,116.0868011
654,116.0359169
655,115.9850327
656,115.9341484
657,115.8832642
658,115.83238
659,115.7814958
660,115.7306116
661,115.6797273
662,115.6288431
663,115.5779589
664,115.5270747
665,115.4761905
666,115.4546213
667,115.4330521
668,115.4114829
669,115.3899137
670,115.3683445
671,115.3467753
672,115.3252062
673,115.303637
674,115.2820678
675,115.2604986
676,115.2389294
677,115.2173602
678,115.195791
679,115.1742218
680,115.1526527
681,115.1310835
682,115.1095143
683,115.0879451
684,115.0663759
685,115.0448067
686,115.0232375
687,115.0016683
688,114.9800991
689,114.95853
690,114.9369608
691,114.9153916
692,114.8938224
693,114.8722532
694,114.850684
695,114.8291148
696,114.8043962
697,114.7796776
698,114.754959
699,114.7302404
700,114.7055218
701,114.6808033
702,114.6560847
703,114.6313661
704,114.6066475
705,114.5819289
706,114.5572103
707,114.5324917
708,114.5077731
709,114.4830545
710,114.4583359
711,114.4336173
712,114.4088987
713,114.3841801
714,114.3594615
715,114.3347429
716,114.3100243
717,114.2853057
718,114.2605871
719,114.2358685
720,114.2111499
721,114.1864313
722,114.1617127
723,114.1369941
724,114.1122755
725,114.0875569
726,114.0628383
727,114.0381198
728,114.0134012
729,113.9886826
730,113.963964
731,113.9314171
732,113.8988703
733,113.8663234
734,113.8337766
735,113.8012297
736,113.7686829
737,113.736136
738,113.7035891
739,113.6710423
740,113.6384954
741,113.6059486
742,113.5734017
743,113.5408549
744,113.508308
